rollno,student_name,emailid,address,contact,mid1_exam_30,mid2_exam_30,attendance_pct_100,backlogs,prev_year_sgpa_10,result
1030,Veer Bhattacharya,veer.bhattacharya2101@rediffmail.com,"274 Main Square, Nashik - 691808",6950486177,5.3,24.7,51,0,5.75,Fail
1031,Anjali Dutta,anjali.dutta6916@hotmail.com,"428 Park Circle, Mumbai - 885409",6503068227,19.8,12.3,81,1,5.11,Pass
1032,Amit Reddy,amit.reddy2078@outlook.com,"343 Park Drive, Pune - 587624",8588769565,22.7,26.7,87,1,7.01,Pass
1033,Aryan Mishra,aryan.mishra3259@gmail.com,"304 Rajendra Road, Ludhiana - 910005",8361393222,19.0,15.1,63,0,7.84,Fail
1034,Simran Kumar,simran.kumar7112@hotmail.com,"326 Patel Lane, Visakhapatnam - 284693",8622026979,5.2,21.7,77,0,7.69,Pass
1035,Veer Arora,veer.arora6219@hotmail.com,"15 Patel Path, Kolkata - 611234",7404582459,15.7,17.4,96,0,8.39,Pass
1036,Neha Choudhury,neha.choudhury6668@outlook.com,"285 Rajendra Circle, Nagpur - 846421",9074059253,16.0,25.4,55,0,5.76,Fail
1037,Kritika Nair,kritika.nair5774@protonmail.com,"233 Nehru Boulevard, Jaipur - 341737",6097892639,15.9,14.7,100,0,8.61,Pass
1038,Sakshi Dutta,sakshi.dutta8605@rediffmail.com,"145 Park Avenue, Lucknow - 338534",8065662867,26.6,19.7,57,2,8.5,Pass
1039,Aarav Arora,aarav.arora4668@outlook.com,"246 Patel Path, Kolkata - 153873",8051831252,28.0,21.9,44,0,N/A,Pass
1040,Meera Iyer,meera.iyer1405@yahoo.com,"61 Shivaji Drive, Vadodara - 929152",7928678489,11.6,23.6,77,0,6.25,Fail
1041,Rahul Dutta,rahul.dutta3414@protonmail.com,"109 Nehru Road, Kolkata - 351517",7370788647,22.0,24.5,84,0,N/A,Pass
1042,Kavya Sen,kavya.sen7448@gmail.com,"352 Rajendra Boulevard, Thiruvananthapuram - 929684",7825957977,8.3,16.4,98,0,N/A,Fail
1043,Tanvi Choudhury,tanvi.choudhury9335@hotmail.com,"225 Park Circle, Ludhiana - 418863",9343730920,9.8,19.0,45,0,6.4,Pass
1044,Meera Arora,meera.arora349@icloud.com,"345 Nehru Drive, Delhi - 900178",7093179263,22.8,22.6,77,0,6.42,Pass
1045,Harsh Pandey,harsh.pandey5470@hotmail.com,"344 Park Lane, Indore - 531642",9354542654,21.4,11.4,69,0,8.0,Pass
1046,Aarav Das,aarav.das8899@outlook.com,"212 Main Avenue, Gurgaon - 479354",9981077394,16.7,19.3,75,3,5.99,Pass
1047,Vivaan Bose,vivaan.bose9985@icloud.com,"123 Market Boulevard, Noida - 114339",9400330495,30,18.3,69,0,7.71,Fail
1048,Naman Srivastava,naman.srivastava7915@outlook.com,"125 Patel Court, Chennai - 502220",7776677517,15.6,22.4,90,0,6.07,Pass
1049,Aarav Iyer,aarav.iyer4901@icloud.com,"301 Patel Lane, Bhopal - 664743",9777263354,9.7,16.4,69,1,7.01,Pass
1050,Diya Sen,diya.sen6256@outlook.com,"340 Market Circle, Delhi - 232379",8735334423,30,23.9,73,0,N/A,Fail
1051,Amit Patel,amit.patel7702@icloud.com,"497 Nehru Path, Vadodara - 826354",9791027186,12.6,26.6,94,0,4.92,Fail
1052,Simran Khanna,simran.khanna8874@gmail.com,"317 Park Avenue, Nagpur - 817645",8283911723,17.8,12.1,46,0,7.1,Fail
1053,Kavya Desai,kavya.desai6151@outlook.com,"75 Rajendra Court, Visakhapatnam - 693419",7730074215,16.8,30,79,0,7.96,Pass
1054,Shreya Sinha,shreya.sinha4193@protonmail.com,"5 Patel Boulevard, Ghaziabad - 673150",7612201744,30,12.5,59,0,5.32,Fail
1055,Rahul Reddy,rahul.reddy6258@rediffmail.com,"184 Nehru Boulevard, Mumbai - 970358",9178884276,30,9.9,87,3,6.07,Fail
1056,Divya Jain,divya.jain5782@yahoo.com,"326 Rajendra Drive, Jaipur - 810688",7698305085,26.3,13.7,59,0,8.58,Pass
1057,Naman Gupta,naman.gupta3299@yahoo.com,"403 Gandhi Court, Gurgaon - 385766",7758809005,29.3,18.9,47,1,5.71,Pass
1058,Karan Khanna,karan.khanna9141@hotmail.com,"47 Shivaji Street, Jaipur - 662637",6248258423,13.1,10.4,77,2,N/A,Pass
1059,Vivaan Jain,vivaan.jain9208@hotmail.com,"469 Rajendra Road, Nagpur - 963875",9753617371,28.8,30,59,0,5.64,Pass
1060,Bhavna Pandey,bhavna.pandey9632@protonmail.com,"373 Market Square, Nagpur - 203832",9939173425,16.4,23.9,84,0,6.44,Pass
1061,Sahil Kumar,sahil.kumar6028@rediffmail.com,"462 Gandhi Street, Surat - 389283",7158416864,30,15.2,45,0,8.89,Pass
1062,Sanjay Roy,sanjay.roy9260@yahoo.com,"36 Rajendra Drive, Pune - 952548",7307145891,19.6,21.3,48,0,6.28,Fail
1063,Vivaan Verma,vivaan.verma253@hotmail.com,"405 Rajendra Drive, Indore - 116548",7139744790,23.1,23.9,47,0,6.23,Pass
1064,Aisha Sharma,aisha.sharma8553@hotmail.com,"235 Main Street, Chandigarh - 988457",9758659815,17.7,17.4,97,0,N/A,Pass
1065,Aisha Bose,aisha.bose9600@rediffmail.com,"365 Gandhi Square, Vadodara - 656330",8895255573,10.6,27.2,94,1,7.89,Fail
1066,Naman Nair,naman.nair7440@outlook.com,"213 Park Path, Visakhapatnam - 427705",8259157845,30,24.0,45,0,7.38,Pass
1067,Kritika Bansal,kritika.bansal5410@protonmail.com,"63 Shivaji Path, Ranchi - 797661",9096932037,9.7,27.6,62,0,6.48,Fail
1068,Divya Khanna,divya.khanna1783@hotmail.com,"433 Gandhi Road, Mysore - 392100",7761956684,28.7,4.4,92,0,9.52,Fail
1069,Anjali Singh,anjali.singh2965@hotmail.com,"360 Nehru Path, Kochi - 106403",7736031885,20.6,13.0,49,0,6.31,Pass
1070,Veer Nair,veer.nair2588@hotmail.com,"160 Gandhi Drive, Vadodara - 189084",6668210614,18.1,16.9,45,0,5.83,Pass
1071,Nidhi Kumar,nidhi.kumar5665@outlook.com,"57 Nehru Drive, Chandigarh - 652531",8195066088,13.5,12.0,40,0,7.79,Pass
1072,Shreya Iyer,shreya.iyer5385@gmail.com,"4 Patel Square, Kolkata - 235462",9521136431,8.8,25.4,67,0,N/A,Pass
1073,Yash Arora,yash.arora6636@protonmail.com,"328 Shivaji Boulevard, Hyderabad - 524708",6444763362,26.0,30,69,0,6.87,Pass
1074,Karan Khanna,karan.khanna5093@protonmail.com,"174 Rajendra Path, Mysore - 276300",6190227431,27.3,24.0,86,0,N/A,Pass
1075,Tanvi Verma,tanvi.verma1244@yahoo.com,"488 Patel Circle, Mysore - 691120",9357806226,14.4,12.2,80,0,7.3,Pass
1076,Veer Sinha,veer.sinha626@gmail.com,"189 Nehru Road, Nagpur - 996841",6472806994,9.3,20.9,90,0,6.19,Pass
1077,Amit Sharma,amit.sharma7391@gmail.com,"416 Gandhi Road, Gurgaon - 777514",7168114160,13.0,13.8,73,0,4.0,Fail
1078,Aryan Pandey,aryan.pandey5553@protonmail.com,"307 Main Path, Bangalore - 445706",6955247915,17.8,30,98,2,N/A,Fail
1079,Harsh Iyer,harsh.iyer6431@yahoo.com,"305 Park Boulevard, Noida - 494977",8492602049,11.7,8.3,87,0,6.57,Pass
1080,Pooja Nair,pooja.nair7977@yahoo.com,"116 Market Lane, Bangalore - 410161",6261436148,17.9,12.0,79,0,4.71,Pass
1081,Aisha Roy,aisha.roy2722@protonmail.com,"225 Main Square, Kochi - 809218",7459318641,9.0,12.0,90,0,8.85,Fail
1082,Sneha Desai,sneha.desai9355@outlook.com,"237 Nehru Square, Gurgaon - 653082",9150090143,15.4,23.8,48,0,4.83,Pass
1083,Rahul Sen,rahul.sen8462@icloud.com,"64 Nehru Road, Mysore - 268100",8204833223,19.5,16.5,98,2,5.76,Pass
1084,Aryan Patel,aryan.patel6152@yahoo.com,"15 Gandhi Road, Varanasi - 849422",8398953973,21.6,22.5,93,0,N/A,Fail
1085,Rishi Jain,rishi.jain96@gmail.com,"10 Nehru Avenue, Varanasi - 256783",9237386857,22.4,18.4,66,0,N/A,Fail
1086,Tanvi Bansal,tanvi.bansal279@protonmail.com,"264 Rajendra Lane, Lucknow - 550090",6935554354,20.1,19.4,82,0,8.04,Fail
1087,Bhavna Chopra,bhavna.chopra8326@rediffmail.com,"11 Shivaji Circle, Delhi - 766550",9508499533,18.0,20.2,90,0,5.37,Fail
1088,Varun Verma,varun.verma736@hotmail.com,"280 Gandhi Lane, Varanasi - 916991",9579187439,9.3,15.7,42,0,4.0,Fail
1089,Akshay Bhattacharya,akshay.bhattacharya5090@rediffmail.com,"204 Patel Boulevard, Delhi - 889883",7523804237,19.4,17.4,81,0,5.68,Pass
1090,Aryan Nair,aryan.nair3070@outlook.com,"355 Patel Path, Agra - 936021",8440904834,20.7,18.6,78,0,6.32,Pass
1091,Kavya Iyer,kavya.iyer7315@rediffmail.com,"368 Shivaji Lane, Ludhiana - 565472",8920407276,15.8,4.8,79,0,7.25,Fail
1092,Sahil Chopra,sahil.chopra2631@gmail.com,"74 Patel Street, Chennai - 170500",7868336102,17.1,12.8,78,0,7.84,Pass
1093,Rohan Arora,rohan.arora2265@rediffmail.com,"188 Shivaji Path, Nagpur - 392228",7125402225,22.4,19.7,73,0,6.72,Fail
1094,Kavya Sen,kavya.sen8057@yahoo.com,"63 Market Road, Bhopal - 281044",9283209430,25.6,25.3,60,2,4.0,Fail
1095,Priya Roy,priya.roy5932@rediffmail.com,"115 Park Avenue, Thiruvananthapuram - 245623",7689593739,26.8,20.4,63,1,7.68,Fail
1096,Diya Chopra,diya.chopra6740@icloud.com,"210 Park Lane, Indore - 773541",6227593033,21.1,16.5,96,0,5.8,Fail
1097,Yash Chopra,yash.chopra917@icloud.com,"64 Market Boulevard, Kolkata - 269835",8263354802,26.0,16.5,58,0,6.21,Pass
1098,Bhavna Patel,bhavna.patel8244@protonmail.com,"87 Market Lane, Ghaziabad - 754814",8420721027,16.9,19.7,42,0,6.54,Pass
1099,Aisha Bose,aisha.bose506@outlook.com,"456 Nehru Boulevard, Chandigarh - 356774",9572436051,20.2,20.0,68,0,5.99,Fail
1100,Harsh Mishra,harsh.mishra2152@icloud.com,"190 Park Path, Ahmedabad - 589132",6443749394,14.2,19.0,58,3,7.34,Fail
1101,Ananya Srivastava,ananya.srivastava5374@rediffmail.com,"370 Gandhi Avenue, Mysore - 267083",9299922974,24.0,13.7,45,0,7.04,Pass
1102,Simran Jain,simran.jain7720@hotmail.com,"275 Main Road, Visakhapatnam - 240441",8419590655,24.4,19.5,65,0,5.66,Pass
1103,Rohan Mishra,rohan.mishra8271@outlook.com,"392 Nehru Drive, Ghaziabad - 740726",6710211115,3.6,30,75,1,6.52,Pass
1104,Varun Roy,varun.roy7771@rediffmail.com,"234 Market Drive, Patna - 640547",7928074841,19.2,29.4,87,0,9.93,Pass
1105,Simran Sen,simran.sen9232@hotmail.com,"244 Main Path, Indore - 806538",6503597301,7.2,13.2,86,0,5.01,Pass
1106,Divya Choudhury,divya.choudhury851@rediffmail.com,"246 Market Court, Nagpur - 856216",9923699745,2.5,30,47,0,7.38,Pass
1107,Pooja Pandey,pooja.pandey8231@icloud.com,"314 Patel Street, Ludhiana - 244790",7703957637,26.0,18.9,64,3,6.18,Fail
1108,Shreya Jain,shreya.jain7942@yahoo.com,"491 Rajendra Boulevard, Noida - 413000",7513743139,23.5,20.3,84,0,4.94,Fail
1109,Anjali Iyer,anjali.iyer2006@rediffmail.com,"347 Shivaji Square, Varanasi - 461900",7247484671,15.4,29.0,62,0,7.31,Pass
1110,Kritika Sen,kritika.sen4460@yahoo.com,"56 Rajendra Avenue, Delhi - 802372",7739951076,30,25.4,85,0,7.2,Pass
1111,Kritika Bhattacharya,kritika.bhattacharya2597@outlook.com,"335 Patel Circle, Nagpur - 309145",8674372082,8.7,7.7,45,0,7.0,Fail
1112,Naman Saxena,naman.saxena2890@gmail.com,"429 Shivaji Circle, Kolkata - 885387",8765583254,16.4,27.4,46,0,6.89,Pass
1113,Simran Saxena,simran.saxena2208@icloud.com,"259 Patel Boulevard, Pune - 948103",6420277403,16.8,9.7,85,0,6.3,Pass
1114,Aisha Khanna,aisha.khanna6653@icloud.com,"219 Gandhi Road, Surat - 801766",6898890707,28.1,16.8,56,0,7.61,Fail
1115,Isha Arora,isha.arora9396@gmail.com,"134 Gandhi Avenue, Delhi - 800225",6293823553,23.7,27.3,99,0,7.87,Pass
1116,Sanjay Bhat,sanjay.bhat2519@outlook.com,"383 Gandhi Square, Ludhiana - 675915",9545940090,15.6,19.7,78,0,4.99,Pass
1117,Meera Kumar,meera.kumar1021@icloud.com,"281 Rajendra Drive, Noida - 257132",7529817193,21.5,21.9,77,0,7.28,Pass
1118,Veer Arora,veer.arora955@rediffmail.com,"237 Nehru Street, Surat - 366818",6203205881,10.8,17.3,62,0,N/A,Fail
1119,Diya Sharma,diya.sharma4713@outlook.com,"93 Market Square, Kochi - 501059",9189503254,17.0,12.0,82,0,8.08,Pass
1120,Bhavna Mishra,bhavna.mishra8674@yahoo.com,"373 Rajendra Street, Mysore - 123840",8986399651,14.1,19.9,52,0,4.69,Fail
1121,Neha Malhotra,neha.malhotra1112@gmail.com,"305 Main Circle, Vadodara - 804668",6484962610,7.1,11.5,88,0,7.36,Pass
1122,Meera Nair,meera.nair9471@rediffmail.com,"396 Gandhi Avenue, Lucknow - 250220",7071194857,16.6,27.2,77,0,4.0,Fail
1123,Aryan Roy,aryan.roy8602@hotmail.com,"357 Shivaji Square, Chennai - 414456",9605351600,18.5,19.3,94,0,7.66,Fail
1124,Kritika Chopra,kritika.chopra2206@outlook.com,"125 Nehru Avenue, Indore - 778121",6255898264,19.8,16.7,86,0,6.53,Pass
1125,Sakshi Choudhury,sakshi.choudhury9166@yahoo.com,"246 Rajendra Path, Lucknow - 116079",7025070544,16.8,22.2,88,1,6.66,Pass
1126,Akshay Dutta,akshay.dutta4647@outlook.com,"239 Gandhi Boulevard, Jaipur - 477115",9001472250,21.7,9.2,88,2,9.1,Fail
1127,Vivaan Rao,vivaan.rao9075@rediffmail.com,"297 Shivaji Boulevard, Chennai - 305722",8282889763,22.0,14.6,75,0,6.42,Fail
1128,Simran Sinha,simran.sinha2766@protonmail.com,"408 Gandhi Lane, Chennai - 855304",9111301175,4.8,17.1,44,3,N/A,Fail
1129,Rohan Sen,rohan.sen2484@gmail.com,"112 Patel Path, Delhi - 747848",9126571968,26.6,19.8,66,0,5.84,Pass
1130,Yash Roy,yash.roy2947@gmail.com,"471 Park Court, Chennai - 352675",7817280229,16.7,19.7,65,0,6.33,Pass
1131,Nikhil Bose,nikhil.bose529@gmail.com,"208 Shivaji Square, Noida - 599128",6734812163,17.2,16.4,94,0,10.0,Fail
1132,Aditya Reddy,aditya.reddy3473@icloud.com,"355 Patel Boulevard, Delhi - 177960",8141312095,15.3,24.1,53,0,6.35,Fail
1133,Rohan Iyer,rohan.iyer2671@rediffmail.com,"124 Shivaji Court, Indore - 502492",7926778957,17.8,13.0,46,0,N/A,Fail
1134,Aisha Jain,aisha.jain6509@icloud.com,"168 Main Boulevard, Thiruvananthapuram - 572437",9274814220,11.6,16.9,51,0,N/A,Fail
1135,Neha Sen,neha.sen1214@gmail.com,"138 Market Square, Ludhiana - 921969",7471762590,16.6,21.8,40,0,7.21,Pass
1136,Kritika Bansal,kritika.bansal8405@outlook.com,"53 Main Road, Kochi - 681142",6664105957,19.8,19.7,66,1,6.66,Pass
1137,Aryan Gupta,aryan.gupta2284@hotmail.com,"155 Nehru Circle, Chennai - 166341",7161887665,10.9,22.6,44,0,5.66,Pass
1138,Rahul Verma,rahul.verma5001@gmail.com,"486 Shivaji Path, Varanasi - 750319",9710338189,11.4,12.9,95,0,8.7,Fail
1139,Sneha Bhat,sneha.bhat5157@yahoo.com,"494 Shivaji Path, Lucknow - 870572",9358554365,15.4,23.7,90,0,8.08,Pass
1140,Kritika Singh,kritika.singh7573@protonmail.com,"108 Patel Boulevard, Varanasi - 826491",6144490990,30,15.8,82,3,N/A,Fail
1141,Diya Arora,diya.arora6576@rediffmail.com,"260 Shivaji Court, Delhi - 929131",8927323476,14.1,22.8,82,0,7.38,Pass
1142,Karan Dutta,karan.dutta5442@icloud.com,"221 Park Street, Hyderabad - 371307",7470617247,11.4,21.2,89,0,8.18,Pass
1143,Nikhil Kumar,nikhil.kumar2331@hotmail.com,"160 Gandhi Circle, Thiruvananthapuram - 316917",9790905673,17.9,27.5,68,0,N/A,Fail
1144,Vivaan Khanna,vivaan.khanna5630@protonmail.com,"56 Market Avenue, Gurgaon - 282928",7984507492,24.4,21.7,51,0,5.18,Fail
1145,Rishi Arora,rishi.arora7047@outlook.com,"3 Rajendra Avenue, Jaipur - 888871",6479690385,20.7,11.3,63,0,N/A,Fail
1146,Simran Chopra,simran.chopra5144@rediffmail.com,"199 Shivaji Drive, Hyderabad - 464826",8926438617,8.5,11.0,85,0,6.46,Pass
1147,Sahil Sen,sahil.sen2326@rediffmail.com,"199 Shivaji Drive, Chennai - 702728",9816937739,22.8,11.0,98,0,6.92,Pass
1148,Akshay Srivastava,akshay.srivastava7399@rediffmail.com,"28 Gandhi Street, Chandigarh - 243168",7796293088,26.1,17.3,71,0,7.54,Pass
1149,Vivaan Roy,vivaan.roy3623@hotmail.com,"17 Nehru Avenue, Noida - 402693",7648220906,11.2,8.8,71,0,5.97,Pass
1150,Bhavna Srivastava,bhavna.srivastava6020@rediffmail.com,"422 Main Circle, Noida - 329158",9227004325,10.1,30,68,0,4.0,Fail
1151,Neha Malhotra,neha.malhotra9642@protonmail.com,"180 Shivaji Lane, Vadodara - 245999",7494084172,26.4,21.9,74,0,5.33,Fail
1152,Kavya Iyer,kavya.iyer9393@hotmail.com,"488 Park Lane, Mysore - 923857",9946081594,30,18.4,48,0,7.76,Fail
1153,Simran Verma,simran.verma9470@protonmail.com,"138 Shivaji Square, Bhopal - 179185",6515344013,7.6,14.5,69,0,N/A,Fail
1154,Nikhil Choudhury,nikhil.choudhury7521@protonmail.com,"341 Gandhi Road, Thiruvananthapuram - 660385",9204862411,4.5,17.6,61,0,9.04,Pass
1155,Varun Saxena,varun.saxena803@gmail.com,"51 Patel Street, Hyderabad - 999313",7190276026,30,19.1,52,2,7.68,Fail
1156,Shreya Patel,shreya.patel6102@protonmail.com,"463 Market Street, Surat - 755994",8243697409,15.7,16.4,46,0,N/A,Pass
1157,Swati Das,swati.das7301@gmail.com,"5 Gandhi Road, Ranchi - 542829",7051706927,19.3,19.4,91,0,7.31,Pass
1158,Aryan Dutta,aryan.dutta2191@protonmail.com,"347 Market Road, Gurgaon - 690654",6999842516,15.1,22.6,87,3,7.27,Fail
1159,Sakshi Choudhury,sakshi.choudhury6301@hotmail.com,"494 Shivaji Path, Thiruvananthapuram - 246623",7361845490,19.7,10.7,78,0,6.27,Fail
1160,Isha Malhotra,isha.malhotra8492@rediffmail.com,"261 Rajendra Square, Lucknow - 777559",6322929387,14.1,22.2,80,0,7.93,Pass
1161,Aryan Khanna,aryan.khanna9322@outlook.com,"188 Market Circle, Mysore - 176538",6522707023,18.5,23.5,99,3,6.87,Fail
1162,Nidhi Dutta,nidhi.dutta6816@outlook.com,"360 Shivaji Road, Nagpur - 662629",7191714875,14.9,26.2,53,0,5.29,Fail
1163,Rohan Iyer,rohan.iyer7177@protonmail.com,"489 Rajendra Street, Ahmedabad - 190401",9793125884,8.1,17.3,82,0,6.54,Fail
1164,Ananya Bhat,ananya.bhat5690@rediffmail.com,"265 Nehru Lane, Kochi - 233097",8865030023,14.2,24.9,73,0,5.82,Pass
1165,Arjun Bhat,arjun.bhat9297@yahoo.com,"189 Market Boulevard, Mysore - 207904",6185386258,12.1,30,55,0,7.45,Pass
1166,Aditya Bansal,aditya.bansal6880@yahoo.com,"165 Rajendra Square, Agra - 855277",8924456994,12.2,24.5,97,0,9.76,Pass
1167,Veer Khanna,veer.khanna4635@icloud.com,"433 Nehru Path, Bangalore - 679959",9329194647,16.0,21.6,59,0,8.27,Fail
1168,Sneha Choudhury,sneha.choudhury8964@icloud.com,"408 Rajendra Lane, Mumbai - 529955",6767539382,18.4,18.9,82,2,N/A,Pass
1169,Neha Pandey,neha.pandey8071@gmail.com,"498 Market Boulevard, Bangalore - 146033",7527316141,15.9,13.0,87,0,6.02,Pass
1170,Arjun Pandey,arjun.pandey2151@yahoo.com,"150 Nehru Path, Agra - 939718",9453283834,12.7,16.9,44,0,7.67,Pass
1171,Rahul Gupta,rahul.gupta7375@outlook.com,"161 Shivaji Road, Noida - 475692",7235936374,4.7,21.9,45,2,6.69,Fail
1172,Akshay Verma,akshay.verma1504@protonmail.com,"128 Gandhi Square, Gurgaon - 151329",8254923696,16.1,25.5,68,1,N/A,Pass
1173,Sanjay Kumar,sanjay.kumar205@gmail.com,"426 Rajendra Lane, Pune - 963685",9768901084,19.4,14.6,92,0,N/A,Fail
1174,Rishi Roy,rishi.roy2120@gmail.com,"464 Gandhi Road, Delhi - 583389",6759781156,15.3,21.8,41,0,5.72,Pass
1175,Priya Rao,priya.rao4595@outlook.com,"453 Market Street, Vadodara - 749254",7075006851,3.5,19.1,70,0,5.3,Fail
1176,Neha Bose,neha.bose8917@icloud.com,"10 Shivaji Path, Chandigarh - 670969",9676247763,22.9,18.8,78,0,7.07,Pass
1177,Diya Chopra,diya.chopra5866@icloud.com,"300 Rajendra Lane, Hyderabad - 359897",7719734235,9.8,28.8,94,0,7.44,Fail
1178,Vivaan Sen,vivaan.sen5771@rediffmail.com,"289 Market Drive, Pune - 977341",9623374739,7.8,19.8,43,0,N/A,Pass
1179,Varun Bhattacharya,varun.bhattacharya3310@icloud.com,"67 Gandhi Lane, Agra - 941404",8255790920,19.7,25.1,49,2,8.3,Pass
1180,Karan Arora,karan.arora1665@hotmail.com,"155 Gandhi Lane, Kolkata - 867927",9420979586,15.4,15.8,75,1,7.26,Fail
1181,Kavya Verma,kavya.verma2921@protonmail.com,"1 Shivaji Drive, Delhi - 290927",8429019820,11.7,22.3,87,0,6.54,Pass
1182,Nikhil Srivastava,nikhil.srivastava5510@outlook.com,"6 Nehru Avenue, Ahmedabad - 826848",6800272428,20.6,8.9,43,0,7.42,Fail
1183,Harsh Bansal,harsh.bansal6159@gmail.com,"425 Patel Drive, Nagpur - 895076",7993571693,24.3,30,58,0,7.84,Pass
1184,Ananya Saxena,ananya.saxena6161@yahoo.com,"375 Park Court, Patna - 197628",8428082088,21.9,17.6,96,0,N/A,Pass
1185,Sneha Pandey,sneha.pandey9088@protonmail.com,"474 Nehru Boulevard, Lucknow - 349088",6508149905,5.9,13.6,49,0,6.31,Fail
1186,Sneha Kumar,sneha.kumar431@yahoo.com,"88 Nehru Road, Chandigarh - 984757",6002076563,27.9,9.5,45,0,6.92,Pass
1187,Priya Sinha,priya.sinha741@hotmail.com,"226 Patel Boulevard, Ahmedabad - 977741",8423420650,24.3,27.2,46,0,5.07,Pass
1188,Arjun Srivastava,arjun.srivastava6352@icloud.com,"268 Shivaji Court, Ghaziabad - 597890",7340498236,24.1,30,85,0,8.03,Fail
1189,Aisha Verma,aisha.verma1980@icloud.com,"230 Market Lane, Pune - 947733",7541964762,0,28.0,67,1,6.67,Fail
